filename,link
January 2015 ASE Cardiac Chamber Quantification by Echo in Adults.pdf,https://www.asecho.org/wp-content/uploads/2016/02/2015_ChamberQuantificationREV.pdf
September 2014 ASE AUC for TTE in Outpatient Pediatric Cardiology.pdf,https://www.asecho.org/wp-content/uploads/2014/09/PedsAUC_JASE2014.pdf
September 2014 ASE Adult Cancer Patients.pdf,https://www.asecho.org/wp-content/uploads/2014/08/2014_CancerTherapy.pdf
August 2014 ASE Radiation Safety for Sonographers.pdf,https://www.asecho.org/wp-content/uploads/2014/07/2014_RadiationSafety.pdf
August 2014 ASE Contrast Echo for Sonographers.pdf,https://www.asecho.org/wp-content/uploads/2014/07/2014_Contrast-Sonography.pdf
February 2014 ASE Repaired Tetralogy of Fallot.pdf,https://www.asecho.org/wp-content/uploads/2014/01/RepairedTOF_Feb2014.pdf
September 2013 ASE Pericardial Disease.pdf,https://www.asecho.org/wp-content/uploads/2014/03/2013_Multimodality-CV-Imaging-for-Pericardial-Disease.pdf
September 2013 ASE CV Complications of Radiotherapy in Adults.pdf,https://www.asecho.org/wp-content/uploads/2014/05/2013_CV-Complications-of-Radiotherapy-in-Adults.pdf
September 2013 ASE Comprehensive TEE.pdf,https://www.asecho.org/wp-content/uploads/2014/05/2013_Performing-Comprehensive-TEE.pdf
June 2013 ASE Focused Cardiac Ultrasound.pdf,https://www.asecho.org/wp-content/uploads/2014/01/FCU.pdf
May 2013 ASE Basic Perioperative TEE.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Basic-Perioperative-TEE-Exam.pdf
January 2012 ASE 3D Echo.pdf,https://www.asecho.org/wp-content/uploads/2014/05/2012_Three-Dimensional-Echo.pdf
December 2011 ASE Ultrasound Guided Vascular Cannulation.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Performing-Ultrasound-Guided-Vascular-Cannulation.pdf
October 2011 ASE Echo in the NICU.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Targeted-NICU-Echo_Pedes.pdf
September 2011 ASE Valvular Heart Disease Echo in Transcatheter Interventions.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Use-of-Echo-in-New-TC-Inter-for-Valv-Heart-Dis.pdf
March 2011 ASE AUC for Echo.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Appropriate-Use-Criteria-for-Echo_2011.pdf
March 2011 ASE Cardiac Mechanics.pdf,https://www.asecho.org/wp-content/uploads/2014/05/2011_Quant-Evaluation-of-Cardiac-Mechanics-Copy.pdf
January 2011 ASE Quality Echo Lab Operations.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Quality-Echo-Lab-Operations.pdf
December 2010 ASE Focused Cardiac Ultrasound in Emergencies.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Focused-Cardiac-US-in-the-Emergent-Setting.pdf
July 2010 ASE Right Heart in Adults.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Echo-Assessment-of-Right-Heart-in-Adults.pdf
May 2010 ASE Pediatric Echo Quantification.pdf,https://www.asecho.org/wp-content/uploads/2014/05/2010_Quantification-Methods-Pediatric-Echo1.pdf
September 2009 ASE Prosthetic Valves by Echo.pdf,https://www.asecho.org/wp-content/uploads/2014/05/2009_Evaluation-of-Prosthetic-Valves.pdf
July 2009 ASE Echo Imaging in Clinical Trials.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Echo-Imaging-in-Clin-Trials_ASE-Standards-for-Echo-Core-Labs.pdf
March 2009 ASE Echo-Guided Interventions.pdf,https://www.asecho.org/wp-content/uploads/2014/05/2009_Echo-Guided-Interventions.pdf
Jan-09 ASE Valve Stenosis 2009.pdf,https://www.asecho.org/wp-content/uploads/2020/08/2009_Echo-Assessment-of-Valve-Stenosis_note_added.pdf
Nov-08 ASE Contrast Agents in Echo.pdf,https://www.asecho.org/wp-content/uploads/2013/05/ASE-Consensus-Statement-on-Clinical-App-of-Ultrasonic-Contrast-Agents-in-Echo.pdf
Mar-08 ASE Resynchronization Therapy.pdf,https://www.asecho.org/wp-content/uploads/2014/05/2008_Cardiac-Resynchronization-Therapy.pdf
Feb-08 ASE Carotid Ultrasound to Assess Subclinical Vascular Disease and CV Risk.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Use-of-Carotid-US-to-ID-Subclinical-Vasc-Disease-and-Eval-Disease-Risk.pdf
Nov-07 ASE Intraoperative Epiaortic Ultrasonographic Exam.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Performance-of-a-Comprehensive-Intraoperative-Epiaortic-Ultrasonographic-Exam.pdf
Sep-07 ASE Stress Echo.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Performance-Interpretation-and-App-of-Stress-Echo.pdf
Apr-07 ASE Comprehensive Epicardial Echo Exam.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Performing-a-Comprehensive-Epicardial-Echo-Exam.pdf
Dec-06 ASE Pediatric Echo.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Pediatric-Echo_Pedes.pdf
Nov-06 ASE Perioperative Echo Quality Improvement.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Continuous-Quality-Improvement-in-Perioperative-Echo.pdf
Aug-06 ASE Vascular Ultrasound in CV Risk Stratification.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Clinical-App-of-Noninvasive-Vasc-US-in-CV-Risk-Stratification.pdf
Aug-06 ASE Noninvasive Vascular Lab Testing.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Noninvasive-Vascular-Lab-Testing.pdf
Nov-05 ASE Minimum Standards for the Cardiac Sonographer.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Minimum-Standards-for-the-Cardiac-Sonographer.pdf
Oct-04 ASE Echo in Clinical Trials.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Use-of-Echo-in-Clinical-Trials.pdf
Jun-02 ASE Perioperative Echo Training.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Task-Force-Guidelines-for-Training-in-Perioperative-Echo.pdf
Mar-02 ASE Standardized Report for Adult TTE.pdf,https://www.asecho.org/wp-content/uploads/2023/03/PIIS0894731702594712.pdf
Feb-02 ASE Doppler Echo Quantification.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Quantification-of-Doppler-Echo.pdf
May-01 ASE Contrast Echo for Sonographers.pdf,https://www.asecho.org/wp-content/uploads/2013/05/Cardiac-Sonographer-in-the-Performance-of-Contrast-Echo.pdf
